locationName,streetAddress,city,state,postalCode,phoneNumber,storeID
Gates of Prosper,1140 S Preston Rd,Prosper,Texas,75078,945-207-1286,6211
Berkshire,6109 Berkshire Ln,Dallas,Texas,75225,945-279-0912,6206
Conroe,247 S Loop 336 W,Conroe,Texas,77304,936-444-4601,6008
Lake Jackson,401-A This Way,Lake Jackson,TX,77566,979-480-1223,5798
Montfort ,15125 Montfort Road,Dallas,TX,75254,469-885-8080,5176
Park District - Petite Market & Bakery,2100 Olive Street,Dallas,TX,75201,972-913-2280,4691
McKinney,3625 West University Drive,McKinney,TX,75071,469-581-1300,4673
Spring ,6805 N Grand Parkway,Spring,TX,77389,346-298-6390,2687
Connecticut Ave. ,1130 Connecticut Ave. NW ,Washington ,DC ,20036 ,202-780-9988,2537
Tierra Del Este,3440 Joe Battle Blvd. ,El Paso ,Texas,79938,915-229-2700,2483
Atlanta Airport Kiosk Terminal C Gate 40,6000 N. Terminal Parkway,Atlanta,GA,30320,404-761-7222,1672
Atlanta Airport Kiosk - Terminal C Gate 7,6000 N. Terminal Parkway,Atlanta,GA,30320,404-761-7222,2441
Sawyer Heights,2423 Katy Freeway,Houston,TX,77007,832-916-4001,2301
Waco,2816 Marketplace Drive,Waco,TX,76711,254-262-3171,1950
Tysons Corner,7960 Tyson’s Corner Center,McLean,VA,22102,703-962-1264,1746
The Met,3615 West Chandler Blvd,Chandler,AZ,85226,480-999-2095,1742
Reston,1833 Fountain Drive,Reston,VA,20190,703-707-0704,1730
Presidio Junction,8825 N Fwy Service Rd E,Ft. Worth,TX,76177,682-593-5605,1728
Phoenix Sky Harbor International Airport,3400 E. Sky Harbor Blvd.,Phoenix,AZ,85034,602-275-6582,1724
Perimeter,1165 Perimeter Center West,Atlanta,GA,30338,770-392-0516,1722
Millenia Mall,4175 Millenia Boulevard,Orlando,FL,32839,321-332-7001,1712
La Villita,6801 N. Mesa Street,El Paso,TX,79912,915-845-9808,1751
First Colony,2675 Town Center Boulevard,Sugarland,TX,77479,281-494-4400,1692
Elmwood,1200 S. Clearview Pkwy,Harahan,LA,70123,504-818-2450,1690
Fountains at Farrah,8889 Gateway Blvd. West,El Paso,TX,79925,915-225-3660,1689
East Cobb,4101 Roswell Road,Marietta,GA,30062,770-579-3040,1688
DFW,3200 E. Airfield Drive,Dallas,TX,75261,972-426-5210,1686
Dallas Love Field,8008 Cedar Springs Rd.,Dallas,TX,75235,214-358-7614,1685
Columbia,6211 Columbia Crossing,Columbia,MD,21045,410-872-4900,1683
Collin Creek,520 W. 15th Street,Plano,TX,75075,972-398-3003,1682
Buford,1795 Mall of Georgia Boulevard,Buford,GA,30519,470-589-1528,1675
Bethesda,7607 Old Georgetown Road,Bethesda,MD,20814,301-215-9142,1674
Bailey's Crossroads,5861 Crossroads Center Way,Bailey's Crossroads,VA,22041,703-379-5551,1673
Gwinnett,2255 Pleasant Hill Road,Duluth,GA,30096,770-814-0355,1697
Houston Galleria,5015 Westheimer Road,Houston,TX,77056,713-993-0287,1698
Kingsgate,8201 Quaker Avenue,Lubbock,TX,79424,806-698-6313,1701
West Little Rock,12210 W. Markham Drive,Little Rock,AR,72211,501-221-7777,1706
Mandeville,3434 Highway 190,Mandeville,LA,70471,985-626-7004,1709
Tanglewood,5885 San Felipe Street,Houston,TX,77057,832-726-1315,1740
Tyler,419 WSW Loop 323,Tyler,TX,75701,903-258-9050,1745
Tulsa Hills,8115 S. Olympia Avenue West,Tulsa,OK,74107,918-289-0348,1744
Town & Country,770 W. Sam Houston Parkway N.,Houston,TX,77024,713-465-7370,1743
The Forum,8134 Agora Parkway,Live Oak,TX,78154,210-306-2922,1741
Sunset Valley,5493 Brodie Lane,Austin,TX,78745,512-287-4081,1739
South Arlington,4201 S. Cooper Street,Arlington,TX,76015,817-417-5100,1738
Shops at Martial,2207-I Kaliste Saloom Road,Lafayette,LA,70508,337-504-7369,1737
Severn,3300 Severn,Metairie,LA,70002,504-456-1624,1736
San Tan Village,2156 E. Williams Field Rd.,Gilbert,AZ,85296,480-485-8490,1734
San Jacinto,2100 Ross Avenue,Dallas,TX,75201,214-220-3911,1733
Rockwall,987 East I-30,Rockwall,TX,75087,972-722-6650,1732
River Oaks,2047-A West Gray,Houston,TX,77019,713-526-9666,1731
Preston Forest,11930 Preston Road,Dallas,TX,75230,972-233-6446,1729
Plano,5000 W. Park Boulevard,Plano,TX,75093,972-407-1878,1726
Alamo Heights,4820 Broadway,San Antonio ,TX,78209,210-829-7291,1460
Uptown,2110 Louisiana Blvd. NE,Albuquerque,NM,87110,505-274-7555,1487
Alexandria,500 King Street,Alexandria,VA,22314,703-739-2854,1668
Allen,810 W. McDermott Drive,Allen,TX,75013,972-338-4927,1669
Arboretum,9828 Great Hills Trail,Austin,TX,78759,512-502-2474,1670
Camp Bowie,6140 Camp Bowie,Ft. Worth,TX,76116,817-654-0471,1676
Carillon,10001 Westheimer Road,Houston,TX,77042,713-266-7686,1677
Carrollton,601 S. Carrollton Avenue,New Orleans,LA,70118,504-861-8662,1678
Champions,5505-A FM 1960,Houston,TX,77069,281-893-0723,1679
Clearlake,929 West Bay Area Boulevard,Webster,TX,77598,281-316-6135,1680
Coit & Campbell,1320 W. Campbell,Richardson,TX,75080,972-671-4887,1681
